paretoRank,paretoCriterion,rank,overallScore,modelUncertaintyBand,policyDelivery,publicAlignment,rightsSafeguard,captureResistance,legitimacy,complexityScore,resilienceFloor,legislatureKey,legislature,reviewKey,review,antiCaptureKey,antiCapture,tradeoffNote
655,exact,3114,0.605,0.096,0.658,0.477,0.637,0.635,0.547,0.744,0.590,default-pass-challenge,Default pass + challenge vouchers,constitutional-remand,Constitutional remand before invalidation,randomized-audit-sanctions,Randomized audit and sanctions,balanced tradeoff
656,exact,3116,0.605,0.096,0.588,0.520,0.694,0.603,0.589,0.811,0.601,citizen-initiative-referendum,Citizen initiative and referendum,automatic-merits-follow-up,Automatic merits follow-up for emergency relief,democracy-vouchers,Democracy vouchers,balanced tradeoff
657,exact,3121,0.605,0.096,0.658,0.478,0.629,0.635,0.557,0.745,0.590,default-pass-challenge,Default pass + challenge vouchers,constitutional-council,Pre-enactment constitutional council,randomized-audit-sanctions,Randomized audit and sanctions,balanced tradeoff
658,exact,3133,0.604,0.095,0.634,0.483,0.665,0.622,0.564,0.733,0.608,long-horizon-learning-majority,Long-horizon strategic learning,remand-override-window-package,Constitutional remand with override window,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,balanced tradeoff
659,exact,3137,0.604,0.095,0.588,0.494,0.695,0.638,0.588,0.766,0.590,citizen-initiative-referendum,Citizen initiative and referendum,emergency-integrity-package,Emergency integrity package,randomized-audit-sanctions,Randomized audit and sanctions,balanced tradeoff
660,exact,3139,0.604,0.095,0.634,0.484,0.656,0.622,0.576,0.739,0.608,long-horizon-learning-majority,Long-horizon strategic learning,council-concrete-hybrid,Constitutional council with concrete-review backstop,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,balanced tradeoff
661,exact,3141,0.604,0.092,0.534,0.512,0.722,0.658,0.594,0.744,0.639,anti-capture-majority-bundle,Majority + anti-capture bundle,constitutional-remand,Constitutional remand before invalidation,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
662,exact,3142,0.604,0.095,0.658,0.501,0.641,0.587,0.580,0.745,0.587,default-pass-challenge,Default pass + challenge vouchers,emergency-restraint-court,No emergency relief without merits review,bundle-with-evasion,Anti-capture bundle with evasion,balanced tradeoff
663,exact,3145,0.604,0.098,0.658,0.473,0.627,0.645,0.533,0.798,0.595,default-pass-challenge,Default pass + challenge vouchers,jurisdiction-stripping-constraints,Jurisdiction stripping constrained by rights carveouts,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,balanced tradeoff
664,exact,3150,0.604,0.092,0.534,0.513,0.715,0.658,0.604,0.746,0.639,anti-capture-majority-bundle,Majority + anti-capture bundle,constitutional-council,Pre-enactment constitutional council,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
665,exact,3160,0.604,0.098,0.658,0.472,0.629,0.645,0.529,0.798,0.595,default-pass-challenge,Default pass + challenge vouchers,nonpartisan-commission,Nonpartisan commission appointments,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,balanced tradeoff
666,exact,3162,0.604,0.098,0.658,0.472,0.633,0.645,0.525,0.795,0.595,default-pass-challenge,Default pass + challenge vouchers,mandatory-written-emergency-reasoning,Mandatory written emergency reasoning,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,balanced tradeoff
