paretoRank,paretoCriterion,rank,overallScore,modelUncertaintyBand,policyDelivery,publicAlignment,rightsSafeguard,captureResistance,legitimacy,complexityScore,resilienceFloor,legislatureKey,legislature,reviewKey,review,antiCaptureKey,antiCapture,tradeoffNote
500,exact,1819,0.618,0.100,0.756,0.508,0.719,0.482,0.580,0.625,0.482,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,constitutional-remand,Constitutional remand before invalidation,open-access-lobbying,Open access lobbying,strong delivery; weak subsystem floor
501,exact,1823,0.618,0.093,0.588,0.521,0.695,0.659,0.608,0.749,0.639,citizen-initiative-referendum,Citizen initiative and referendum,emergency-integrity-package,Emergency integrity package,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
502,exact,1827,0.617,0.100,0.756,0.509,0.711,0.482,0.590,0.627,0.482,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,constitutional-council,Pre-enactment constitutional council,open-access-lobbying,Open access lobbying,strong delivery; weak subsystem floor
503,exact,1839,0.617,0.092,0.611,0.512,0.702,0.638,0.604,0.709,0.626,risk-routed-majority,Risk-routed majority legislature,emergency-integrity-package,Emergency integrity package,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
504,exact,1845,0.617,0.095,0.658,0.503,0.639,0.656,0.584,0.734,0.595,default-pass-challenge,Default pass + challenge vouchers,emergency-integrity-package,Emergency integrity package,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
505,exact,1865,0.617,0.096,0.633,0.496,0.738,0.611,0.571,0.746,0.579,portfolio-hybrid-legislature,Portfolio hybrid legislature,jurisdiction-stripping-constraints,Jurisdiction stripping constrained by rights carveouts,real-time-transparency,Real-time transparency,balanced tradeoff
506,exact,1875,0.617,0.096,0.633,0.495,0.740,0.611,0.568,0.746,0.579,portfolio-hybrid-legislature,Portfolio hybrid legislature,nonpartisan-commission,Nonpartisan commission appointments,real-time-transparency,Real-time transparency,balanced tradeoff
507,exact,1880,0.617,0.096,0.633,0.494,0.743,0.611,0.563,0.743,0.579,portfolio-hybrid-legislature,Portfolio hybrid legislature,mandatory-written-emergency-reasoning,Mandatory written emergency reasoning,real-time-transparency,Real-time transparency,balanced tradeoff
508,exact,1881,0.617,0.096,0.730,0.485,0.614,0.619,0.540,0.731,0.578,default-pass-multiround-mediation-challenge,Default pass + multi-round mediation + challenge,accountability-retention-court,Retention-election accountability court,audit-and-sanctions,Audit and sanctions,strong delivery
509,exact,1889,0.617,0.096,0.633,0.497,0.737,0.611,0.568,0.746,0.579,portfolio-hybrid-legislature,Portfolio hybrid legislature,accountability-retention-court,Retention-election accountability court,real-time-transparency,Real-time transparency,balanced tradeoff
510,exact,1903,0.617,0.096,0.633,0.495,0.740,0.611,0.565,0.745,0.579,portfolio-hybrid-legislature,Portfolio hybrid legislature,recusal-and-emergency-reform,Peer recusal + reasoned emergency docket,real-time-transparency,Real-time transparency,balanced tradeoff
511,exact,1908,0.617,0.096,0.633,0.496,0.737,0.611,0.569,0.745,0.579,portfolio-hybrid-legislature,Portfolio hybrid legislature,legislative-override,Judicial review with legislative supermajority override,real-time-transparency,Real-time transparency,balanced tradeoff
512,exact,1910,0.617,0.096,0.633,0.496,0.737,0.611,0.568,0.745,0.579,portfolio-hybrid-legislature,Portfolio hybrid legislature,legislative-override-window,Time-limited legislative override window,real-time-transparency,Real-time transparency,balanced tradeoff
513,exact,1917,0.617,0.096,0.633,0.495,0.741,0.611,0.562,0.751,0.579,portfolio-hybrid-legislature,Portfolio hybrid legislature,term-limited-balanced,18-year staggered terms + regular appointments,real-time-transparency,Real-time transparency,balanced tradeoff
514,exact,1933,0.616,0.093,0.588,0.521,0.694,0.659,0.597,0.754,0.639,citizen-initiative-referendum,Citizen initiative and referendum,automatic-merits-follow-up,Automatic merits follow-up for emergency relief,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
