caseLabels,balancedRank,balancedScore,minimaxRegretRank,maxProfileRegret,uncertaintyLow,uncertaintyHigh,modelUncertaintyBand,resilienceFloor,complexityScore,legislature,review,antiCapture,balancedRank,efficiency-firstRank,rights-firstRank,anti-capture-firstRank,low-complexityRank,legitimacy-firstRank,balancedScore,efficiency-firstScore,rights-firstScore,anti-capture-firstScore,low-complexityScore,legitimacy-firstScore,tradeoffNote
balanced winner,1,0.656,5956,0.107,0.563,0.748,0.092,0.554,0.554,Expanded portfolio hybrid legislature,No emergency relief without merits review,Full anti-capture bundle,1,2245,44,3,25216,34,0.656,0.664,0.655,0.635,0.616,0.617,strong delivery
Rights First winner; Anti-Capture First winner; Legitimacy First winner,125,0.640,1700,0.083,0.548,0.733,0.092,0.635,0.671,Unicameral majority + pairwise alternatives,No emergency relief without merits review,Full anti-capture bundle,125,4183,1,1,5487,1,0.640,0.644,0.665,0.635,0.649,0.627,strong rights screen
robustness winner,267,0.635,2285,0.086,0.542,0.727,0.092,0.635,0.692,Portfolio hybrid legislature,No emergency relief without merits review,Full anti-capture bundle,267,4727,14,10,4208,7,0.635,0.641,0.660,0.633,0.653,0.623,strong rights screen
minimax-regret winner,323,0.633,1,0.051,0.538,0.727,0.094,0.608,0.703,Default pass + multi-round mediation + challenge,No emergency relief without merits review,Full anti-capture bundle,323,1122,3877,117,1318,672,0.633,0.685,0.616,0.622,0.671,0.600,strong delivery
Efficiency First winner,348,0.631,39,0.061,0.533,0.730,0.098,0.600,0.814,Default pass unless 2/3 block,No emergency relief without merits review,Democracy vouchers,348,1,9334,578,5,1439,0.631,0.727,0.604,0.608,0.721,0.594,strong delivery
Low Complexity winner,645,0.625,418,0.073,0.526,0.723,0.099,0.598,0.822,Default pass unless 2/3 block,60 percent invalidation threshold,Democracy vouchers,645,3,17601,1155,1,6205,0.625,0.727,0.592,0.600,0.723,0.580,strong delivery
current-system-ish baseline,33486,0.500,29727,0.163,0.396,0.603,0.104,0.419,0.882,Stylized U.S.-like conventional benchmark,Stylized current U.S.-like supreme court,Open access lobbying,33486,30635,33054,31561,17043,33439,0.500,0.565,0.552,0.477,0.628,0.525,weak subsystem floor
