runKey,status,reviewSource,reviewPath,reviewRows,reviewScenarios,portfolioCount,balancedWinner,balancedWinnerKey,canonicalWinnerKey,balancedScore,top25OverlapWithPrimary,top100OverlapWithPrimary,sharedPortfolioCountWithPrimary,primaryWinnerRankInRun,runWinnerRankInPrimary,averageReviewMetricCoverage,configuredMetricCount,rankComparisonBasis,notes
current-imported-review,completed,Supreme Court Simulator Design,../Supreme Court Simulator Design/reports/constitutional-review-campaign-v2.csv,540,27,43470,Expanded portfolio hybrid legislature + No emergency relief without merits review + Full anti-capture bundle,expanded-portfolio-hybrid-legislature|emergency-restraint-court|full-anti-capture-bundle,expanded-portfolio-hybrid-legislature|emergency-restraint-court|full-anti-capture-bundle,0.661,25,100,43470,1,1,16.000,18,canonical legislature/review/anti-capture keys with harmonized source prefixes stripped,Current ranking source.
companion-review-first-pass,completed,Constitutional Review Simulator,../Constitutional Review Simulator/reports/constitutional-review-sensitivity-v1.csv,231,21,33810,Expanded portfolio hybrid legislature + Suspended declarations of invalidity + Full anti-capture bundle,expanded-portfolio-hybrid-legislature|suspended-declaration-review|full-anti-capture-bundle,expanded-portfolio-hybrid-legislature|suspended-declaration-review|full-anti-capture-bundle,0.678,2,6,3220,not comparable,not comparable,12.000,18,canonical legislature/review/anti-capture keys with harmonized source prefixes stripped,"First-pass source swap; missing configured fields are skipped, not imputed."
harmonized-review-source,completed,Harmonized review source,reports/harmonized-review-source.csv,771,48,77280,Expanded portfolio hybrid legislature + Constitutional Review Simulator: Mandatory legislative response cycles + Full anti-capture bundle,expanded-portfolio-hybrid-legislature|crs__mandatory-legislative-response|full-anti-capture-bundle,expanded-portfolio-hybrid-legislature|mandatory-legislative-response|full-anti-capture-bundle,0.677,2,6,43470,253,not comparable,10.000,10,canonical legislature/review/anti-capture keys with harmonized source prefixes stripped,Conservative harmonized source using only shared same-direction static review fields from both review projects.
