leftRunKey,rightRunKey,top25Overlap,top100Overlap,sharedCanonicalPortfolioCount,leftPortfolioCount,rightPortfolioCount,comparisonBasis
current-imported-review,companion-review-first-pass,2,6,2604,33852,27342,canonical portfolio keys; source prefixes stripped for harmonized review rows
current-imported-review,harmonized-review-source,2,6,33852,33852,61194,canonical portfolio keys; source prefixes stripped for harmonized review rows
companion-review-first-pass,harmonized-review-source,19,86,27342,27342,61194,canonical portfolio keys; source prefixes stripped for harmonized review rows
