stressProfile,stressLabel,bridgeRank,caseKey,caseLabel,rationale,selectorSource,bridgeScore,balancedRank,balancedScore,averageDelivery,averageReviewDocketPressure,averageCorrectionRate,averageNetPolicyBenefit,finalPolicyQuality,finalPublicAlignment,finalCapturePressure,finalCorrectionBacklog,finalCourtCurbingPressure,finalLegitimacy,finalCompliance,cumulativeUsefulPolicy,cumulativeBadPolicyInflow,cumulativeUncorrectedPressure,baseResilienceFloor,failureModes,legislatureKey,legislature,reviewKey,review,antiCaptureKey,antiCapture
baseline,Baseline,1,balanced-winner,Balanced winner,Highest balanced portfolio score.,cumulative-government-portfolios.csv rank 1,0.727,1,0.661,0.612,0.156,0.989,0.295,0.359,0.521,0.000,0.029,0.000,0.703,0.707,9.087,4.428,0.041,0.551,weak starting floor,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
baseline,Baseline,2,efficiency-caution,Efficiency caution case,"Highest efficiency-first profile row, included as a stress case for weak-floor risks.",profile-sensitivity.csv efficiency-first rank 1,0.722,433,0.635,0.634,0.230,0.859,0.253,0.352,0.494,0.000,0.030,0.000,0.666,0.712,8.765,5.559,0.776,0.601,no dominant failure mode,default-pass,Default pass unless 2/3 block,emergency-restraint-court,No emergency relief without merits review,democracy-vouchers,Democracy vouchers
baseline,Baseline,3,minimax-regret-winner,Minimax-regret winner,Lowest maximum regret across configured value profiles.,portfolio-minimax-regret.csv rank 1,0.719,339,0.638,0.602,0.182,0.944,0.270,0.344,0.510,0.000,0.027,0.000,0.681,0.704,8.719,4.821,0.246,0.613,no dominant failure mode,default-pass-multiround-mediation-challenge,Default pass + multi-round mediation + challenge,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
baseline,Baseline,4,rights-capture-winner,Rights/capture winner,"Highest rights-first profile row, which weights rights while preserving capture resistance.",profile-sensitivity.csv rights-first rank 1,0.716,155,0.644,0.537,0.131,1.000,0.260,0.312,0.511,0.000,0.026,0.000,0.712,0.744,7.929,3.770,0.000,0.639,no dominant failure mode,simple-majority-alternatives-pairwise,Unicameral majority + pairwise alternatives,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
baseline,Baseline,5,legitimacy-winner,Legitimacy-first winner,Highest legitimacy-first profile row.,profile-sensitivity.csv legitimacy-first rank 1,0.716,155,0.644,0.537,0.131,1.000,0.260,0.312,0.511,0.000,0.026,0.000,0.712,0.744,7.929,3.770,0.000,0.639,no dominant failure mode,simple-majority-alternatives-pairwise,Unicameral majority + pairwise alternatives,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
baseline,Baseline,6,robustness-winner,Robustness winner,Highest cross-profile robustness score.,portfolio-robustness.csv rank 1,0.713,256,0.641,0.528,0.129,1.000,0.256,0.307,0.512,0.000,0.025,0.000,0.705,0.743,7.814,3.713,0.000,0.639,no dominant failure mode,portfolio-hybrid-legislature,Portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
baseline,Baseline,7,current-system-baseline,Current-system-ish baseline,Stylized current institutional package for comparison.,fixed baseline keys,0.480,43106,0.495,0.288,0.189,1.000,0.041,0.000,0.202,0.449,0.000,0.000,0.396,0.633,2.642,3.707,0.000,0.421,weak starting floor; low policy quality; public alignment erosion; legitimacy erosion; delivery bottleneck,current-system,Stylized U.S.-like conventional benchmark,current-us-like,Stylized current U.S.-like supreme court,open-access-lobbying,Open access lobbying
