stressProfile,stressLabel,caseKey,period,delivery,usefulPolicy,badPolicyInflow,reviewDocketPressure,correctedPressure,uncorrectedPressure,policyQuality,publicAlignmentState,capturePressure,correctionBacklog,courtCurbingPressure,legitimacyState,compliance,netPolicyBenefit
baseline,Baseline,balanced-winner,1,0.585,0.333,0.219,0.265,0.235,0.031,0.569,0.516,0.295,0.134,0.000,0.623,0.669,0.226
baseline,Baseline,balanced-winner,2,0.588,0.335,0.217,0.246,0.235,0.010,0.514,0.502,0.249,0.098,0.000,0.629,0.671,0.235
baseline,Baseline,balanced-winner,3,0.592,0.340,0.214,0.224,0.224,0.000,0.471,0.494,0.203,0.069,0.000,0.634,0.674,0.243
baseline,Baseline,balanced-winner,4,0.596,0.345,0.209,0.203,0.203,0.000,0.437,0.489,0.158,0.051,0.000,0.640,0.676,0.251
baseline,Baseline,balanced-winner,5,0.599,0.352,0.203,0.186,0.186,0.000,0.412,0.487,0.113,0.040,0.000,0.646,0.679,0.260
baseline,Baseline,balanced-winner,6,0.603,0.359,0.197,0.171,0.171,0.000,0.394,0.489,0.070,0.034,0.000,0.652,0.681,0.270
baseline,Baseline,balanced-winner,7,0.607,0.367,0.190,0.157,0.157,0.000,0.381,0.492,0.026,0.031,0.000,0.658,0.684,0.282
baseline,Baseline,balanced-winner,8,0.610,0.376,0.182,0.144,0.144,0.000,0.374,0.497,0.000,0.030,0.000,0.665,0.687,0.294
baseline,Baseline,balanced-winner,9,0.613,0.383,0.177,0.136,0.136,0.000,0.369,0.501,0.000,0.030,0.000,0.670,0.690,0.303
baseline,Baseline,balanced-winner,10,0.615,0.385,0.177,0.136,0.136,0.000,0.365,0.504,0.000,0.030,0.000,0.675,0.693,0.306
baseline,Baseline,balanced-winner,11,0.616,0.387,0.176,0.135,0.135,0.000,0.362,0.507,0.000,0.029,0.000,0.679,0.695,0.308
baseline,Baseline,balanced-winner,12,0.617,0.389,0.176,0.135,0.135,0.000,0.360,0.509,0.000,0.029,0.000,0.683,0.697,0.310
baseline,Baseline,balanced-winner,13,0.618,0.390,0.175,0.135,0.135,0.000,0.359,0.511,0.000,0.029,0.000,0.686,0.698,0.311
baseline,Baseline,balanced-winner,14,0.618,0.391,0.175,0.135,0.135,0.000,0.358,0.513,0.000,0.029,0.000,0.688,0.699,0.313
baseline,Baseline,balanced-winner,15,0.619,0.392,0.175,0.134,0.134,0.000,0.357,0.514,0.000,0.029,0.000,0.691,0.701,0.314
baseline,Baseline,balanced-winner,16,0.620,0.393,0.174,0.134,0.134,0.000,0.357,0.516,0.000,0.029,0.000,0.693,0.702,0.315
baseline,Baseline,balanced-winner,17,0.620,0.394,0.174,0.134,0.134,0.000,0.357,0.517,0.000,0.029,0.000,0.694,0.703,0.316
baseline,Baseline,balanced-winner,18,0.621,0.395,0.174,0.134,0.134,0.000,0.357,0.518,0.000,0.029,0.000,0.696,0.703,0.316
baseline,Baseline,balanced-winner,19,0.621,0.395,0.174,0.134,0.134,0.000,0.357,0.518,0.000,0.029,0.000,0.697,0.704,0.317
baseline,Baseline,balanced-winner,20,0.621,0.396,0.174,0.134,0.134,0.000,0.358,0.519,0.000,0.029,0.000,0.699,0.705,0.318
baseline,Baseline,balanced-winner,21,0.622,0.396,0.174,0.134,0.134,0.000,0.358,0.520,0.000,0.029,0.000,0.700,0.705,0.318
baseline,Baseline,balanced-winner,22,0.622,0.397,0.174,0.134,0.134,0.000,0.358,0.520,0.000,0.029,0.000,0.701,0.706,0.319
baseline,Baseline,balanced-winner,23,0.622,0.397,0.174,0.133,0.133,0.000,0.359,0.521,0.000,0.029,0.000,0.702,0.706,0.319
baseline,Baseline,balanced-winner,24,0.622,0.397,0.174,0.133,0.133,0.000,0.359,0.521,0.000,0.029,0.000,0.703,0.707,0.319
baseline,Baseline,robustness-winner,1,0.501,0.282,0.186,0.236,0.236,0.000,0.570,0.507,0.280,0.104,0.000,0.630,0.705,0.198
baseline,Baseline,robustness-winner,2,0.506,0.287,0.183,0.206,0.206,0.000,0.508,0.495,0.224,0.070,0.000,0.638,0.709,0.205
baseline,Baseline,robustness-winner,3,0.511,0.293,0.178,0.183,0.183,0.000,0.459,0.488,0.169,0.050,0.000,0.645,0.713,0.213
baseline,Baseline,robustness-winner,4,0.515,0.300,0.173,0.163,0.163,0.000,0.422,0.485,0.114,0.038,0.000,0.653,0.716,0.222
baseline,Baseline,robustness-winner,5,0.519,0.307,0.166,0.147,0.147,0.000,0.394,0.486,0.061,0.031,0.000,0.660,0.719,0.233
baseline,Baseline,robustness-winner,6,0.523,0.316,0.159,0.131,0.131,0.000,0.374,0.490,0.007,0.028,0.000,0.668,0.723,0.245
baseline,Baseline,robustness-winner,7,0.528,0.326,0.151,0.116,0.116,0.000,0.360,0.493,0.000,0.027,0.000,0.675,0.726,0.258
baseline,Baseline,robustness-winner,8,0.530,0.329,0.150,0.114,0.114,0.000,0.348,0.496,0.000,0.027,0.000,0.680,0.729,0.261
baseline,Baseline,robustness-winner,9,0.531,0.330,0.149,0.114,0.114,0.000,0.339,0.499,0.000,0.026,0.000,0.685,0.732,0.263
baseline,Baseline,robustness-winner,10,0.532,0.332,0.149,0.113,0.113,0.000,0.332,0.501,0.000,0.026,0.000,0.689,0.734,0.265
baseline,Baseline,robustness-winner,11,0.532,0.333,0.149,0.113,0.113,0.000,0.326,0.502,0.000,0.026,0.000,0.692,0.735,0.266
baseline,Baseline,robustness-winner,12,0.533,0.334,0.149,0.113,0.113,0.000,0.322,0.504,0.000,0.026,0.000,0.694,0.737,0.267
baseline,Baseline,robustness-winner,13,0.534,0.335,0.148,0.113,0.113,0.000,0.318,0.505,0.000,0.026,0.000,0.696,0.738,0.268
baseline,Baseline,robustness-winner,14,0.534,0.335,0.148,0.113,0.113,0.000,0.316,0.506,0.000,0.026,0.000,0.698,0.739,0.269
baseline,Baseline,robustness-winner,15,0.534,0.336,0.148,0.113,0.113,0.000,0.314,0.507,0.000,0.026,0.000,0.699,0.740,0.269
baseline,Baseline,robustness-winner,16,0.535,0.337,0.148,0.112,0.112,0.000,0.312,0.508,0.000,0.025,0.000,0.700,0.740,0.270
baseline,Baseline,robustness-winner,17,0.535,0.337,0.148,0.112,0.112,0.000,0.311,0.509,0.000,0.025,0.000,0.701,0.741,0.270
baseline,Baseline,robustness-winner,18,0.535,0.337,0.148,0.112,0.112,0.000,0.310,0.509,0.000,0.025,0.000,0.702,0.741,0.271
baseline,Baseline,robustness-winner,19,0.535,0.338,0.148,0.112,0.112,0.000,0.309,0.510,0.000,0.025,0.000,0.703,0.742,0.271
baseline,Baseline,robustness-winner,20,0.535,0.338,0.148,0.112,0.112,0.000,0.308,0.510,0.000,0.025,0.000,0.704,0.742,0.272
baseline,Baseline,robustness-winner,21,0.536,0.338,0.147,0.112,0.112,0.000,0.308,0.511,0.000,0.025,0.000,0.704,0.742,0.272
baseline,Baseline,robustness-winner,22,0.536,0.338,0.147,0.112,0.112,0.000,0.308,0.511,0.000,0.025,0.000,0.705,0.742,0.272
baseline,Baseline,robustness-winner,23,0.536,0.338,0.147,0.112,0.112,0.000,0.307,0.511,0.000,0.025,0.000,0.705,0.743,0.272
baseline,Baseline,robustness-winner,24,0.536,0.339,0.147,0.112,0.112,0.000,0.307,0.512,0.000,0.025,0.000,0.705,0.743,0.272
baseline,Baseline,minimax-regret-winner,1,0.575,0.316,0.237,0.300,0.220,0.080,0.530,0.490,0.294,0.193,0.000,0.594,0.664,0.189
baseline,Baseline,minimax-regret-winner,2,0.578,0.318,0.235,0.287,0.220,0.067,0.476,0.476,0.245,0.179,0.000,0.597,0.665,0.195
baseline,Baseline,minimax-regret-winner,3,0.581,0.321,0.231,0.272,0.220,0.052,0.435,0.467,0.197,0.160,0.000,0.601,0.667,0.204
baseline,Baseline,minimax-regret-winner,4,0.585,0.327,0.226,0.255,0.221,0.034,0.405,0.464,0.149,0.135,0.000,0.606,0.668,0.216
baseline,Baseline,minimax-regret-winner,5,0.588,0.334,0.220,0.234,0.221,0.013,0.384,0.465,0.102,0.104,0.000,0.613,0.671,0.232
baseline,Baseline,minimax-regret-winner,6,0.592,0.342,0.213,0.211,0.211,0.000,0.370,0.470,0.054,0.075,0.000,0.621,0.673,0.247
baseline,Baseline,minimax-regret-winner,7,0.596,0.352,0.204,0.188,0.188,0.000,0.361,0.476,0.007,0.058,0.000,0.629,0.677,0.260
baseline,Baseline,minimax-regret-winner,8,0.601,0.363,0.196,0.168,0.168,0.000,0.355,0.482,0.000,0.047,0.000,0.636,0.681,0.275
baseline,Baseline,minimax-regret-winner,9,0.603,0.367,0.194,0.162,0.162,0.000,0.351,0.487,0.000,0.040,0.000,0.643,0.684,0.280
baseline,Baseline,minimax-regret-winner,10,0.604,0.369,0.193,0.159,0.159,0.000,0.347,0.490,0.000,0.036,0.000,0.648,0.687,0.283
baseline,Baseline,minimax-regret-winner,11,0.606,0.372,0.193,0.157,0.157,0.000,0.345,0.494,0.000,0.033,0.000,0.653,0.689,0.285
baseline,Baseline,minimax-regret-winner,12,0.607,0.374,0.192,0.155,0.155,0.000,0.343,0.496,0.000,0.031,0.000,0.657,0.692,0.287
baseline,Baseline,minimax-regret-winner,13,0.608,0.375,0.192,0.154,0.154,0.000,0.342,0.499,0.000,0.030,0.000,0.661,0.693,0.289
baseline,Baseline,minimax-regret-winner,14,0.609,0.377,0.191,0.154,0.154,0.000,0.342,0.501,0.000,0.029,0.000,0.664,0.695,0.290
baseline,Baseline,minimax-regret-winner,15,0.610,0.378,0.191,0.153,0.153,0.000,0.341,0.503,0.000,0.029,0.000,0.667,0.697,0.292
baseline,Baseline,minimax-regret-winner,16,0.610,0.379,0.191,0.153,0.153,0.000,0.341,0.504,0.000,0.028,0.000,0.669,0.698,0.293
baseline,Baseline,minimax-regret-winner,17,0.611,0.380,0.191,0.153,0.153,0.000,0.341,0.505,0.000,0.028,0.000,0.672,0.699,0.294
baseline,Baseline,minimax-regret-winner,18,0.611,0.381,0.191,0.152,0.152,0.000,0.342,0.506,0.000,0.028,0.000,0.673,0.700,0.295
baseline,Baseline,minimax-regret-winner,19,0.612,0.381,0.190,0.152,0.152,0.000,0.342,0.507,0.000,0.028,0.000,0.675,0.701,0.296
baseline,Baseline,minimax-regret-winner,20,0.612,0.382,0.190,0.152,0.152,0.000,0.342,0.508,0.000,0.028,0.000,0.677,0.701,0.296
baseline,Baseline,minimax-regret-winner,21,0.613,0.382,0.190,0.152,0.152,0.000,0.343,0.509,0.000,0.027,0.000,0.678,0.702,0.297
baseline,Baseline,minimax-regret-winner,22,0.613,0.383,0.190,0.152,0.152,0.000,0.343,0.509,0.000,0.027,0.000,0.679,0.703,0.297
baseline,Baseline,minimax-regret-winner,23,0.613,0.383,0.190,0.152,0.152,0.000,0.343,0.510,0.000,0.027,0.000,0.680,0.703,0.298
baseline,Baseline,minimax-regret-winner,24,0.614,0.384,0.190,0.152,0.152,0.000,0.344,0.510,0.000,0.027,0.000,0.681,0.704,0.298
baseline,Baseline,rights-capture-winner,1,0.510,0.287,0.189,0.238,0.238,0.000,0.570,0.508,0.288,0.102,0.000,0.638,0.707,0.202
baseline,Baseline,rights-capture-winner,2,0.515,0.291,0.186,0.208,0.208,0.000,0.509,0.495,0.234,0.069,0.000,0.645,0.711,0.208
baseline,Baseline,rights-capture-winner,3,0.519,0.297,0.182,0.186,0.186,0.000,0.460,0.487,0.181,0.049,0.000,0.652,0.714,0.215
baseline,Baseline,rights-capture-winner,4,0.523,0.303,0.177,0.167,0.167,0.000,0.423,0.483,0.128,0.037,0.000,0.659,0.717,0.224
baseline,Baseline,rights-capture-winner,5,0.527,0.310,0.170,0.151,0.151,0.000,0.394,0.483,0.077,0.031,0.000,0.666,0.720,0.234
baseline,Baseline,rights-capture-winner,6,0.531,0.319,0.164,0.136,0.136,0.000,0.374,0.486,0.025,0.028,0.000,0.673,0.723,0.245
baseline,Baseline,rights-capture-winner,7,0.535,0.328,0.156,0.122,0.122,0.000,0.360,0.490,0.000,0.027,0.000,0.680,0.726,0.258
baseline,Baseline,rights-capture-winner,8,0.538,0.333,0.152,0.115,0.115,0.000,0.349,0.493,0.000,0.026,0.000,0.685,0.729,0.265
baseline,Baseline,rights-capture-winner,9,0.539,0.335,0.151,0.115,0.115,0.000,0.341,0.496,0.000,0.026,0.000,0.690,0.732,0.267
baseline,Baseline,rights-capture-winner,10,0.540,0.337,0.151,0.114,0.114,0.000,0.334,0.498,0.000,0.026,0.000,0.694,0.734,0.269
baseline,Baseline,rights-capture-winner,11,0.541,0.338,0.151,0.114,0.114,0.000,0.329,0.500,0.000,0.026,0.000,0.697,0.736,0.270
baseline,Baseline,rights-capture-winner,12,0.541,0.339,0.150,0.114,0.114,0.000,0.325,0.502,0.000,0.026,0.000,0.699,0.737,0.271
baseline,Baseline,rights-capture-winner,13,0.542,0.340,0.150,0.114,0.114,0.000,0.322,0.503,0.000,0.026,0.000,0.702,0.738,0.272
baseline,Baseline,rights-capture-winner,14,0.542,0.341,0.150,0.114,0.114,0.000,0.319,0.505,0.000,0.026,0.000,0.703,0.739,0.273
baseline,Baseline,rights-capture-winner,15,0.543,0.341,0.150,0.113,0.113,0.000,0.317,0.506,0.000,0.026,0.000,0.705,0.740,0.274
baseline,Baseline,rights-capture-winner,16,0.543,0.342,0.150,0.113,0.113,0.000,0.316,0.507,0.000,0.026,0.000,0.706,0.741,0.275
baseline,Baseline,rights-capture-winner,17,0.543,0.342,0.149,0.113,0.113,0.000,0.315,0.507,0.000,0.026,0.000,0.707,0.741,0.275
baseline,Baseline,rights-capture-winner,18,0.544,0.343,0.149,0.113,0.113,0.000,0.314,0.508,0.000,0.026,0.000,0.708,0.742,0.276
baseline,Baseline,rights-capture-winner,19,0.544,0.343,0.149,0.113,0.113,0.000,0.313,0.509,0.000,0.026,0.000,0.709,0.742,0.276
baseline,Baseline,rights-capture-winner,20,0.544,0.343,0.149,0.113,0.113,0.000,0.313,0.509,0.000,0.026,0.000,0.710,0.743,0.276
baseline,Baseline,rights-capture-winner,21,0.544,0.344,0.149,0.113,0.113,0.000,0.313,0.510,0.000,0.026,0.000,0.710,0.743,0.277
baseline,Baseline,rights-capture-winner,22,0.544,0.344,0.149,0.113,0.113,0.000,0.312,0.510,0.000,0.026,0.000,0.711,0.743,0.277
baseline,Baseline,rights-capture-winner,23,0.544,0.344,0.149,0.113,0.113,0.000,0.312,0.510,0.000,0.026,0.000,0.711,0.743,0.277
baseline,Baseline,rights-capture-winner,24,0.545,0.344,0.149,0.113,0.113,0.000,0.312,0.511,0.000,0.026,0.000,0.712,0.744,0.277
baseline,Baseline,legitimacy-winner,1,0.510,0.287,0.189,0.238,0.238,0.000,0.570,0.508,0.288,0.102,0.000,0.638,0.707,0.202
baseline,Baseline,legitimacy-winner,2,0.515,0.291,0.186,0.208,0.208,0.000,0.509,0.495,0.234,0.069,0.000,0.645,0.711,0.208
baseline,Baseline,legitimacy-winner,3,0.519,0.297,0.182,0.186,0.186,0.000,0.460,0.487,0.181,0.049,0.000,0.652,0.714,0.215
baseline,Baseline,legitimacy-winner,4,0.523,0.303,0.177,0.167,0.167,0.000,0.423,0.483,0.128,0.037,0.000,0.659,0.717,0.224
baseline,Baseline,legitimacy-winner,5,0.527,0.310,0.170,0.151,0.151,0.000,0.394,0.483,0.077,0.031,0.000,0.666,0.720,0.234
baseline,Baseline,legitimacy-winner,6,0.531,0.319,0.164,0.136,0.136,0.000,0.374,0.486,0.025,0.028,0.000,0.673,0.723,0.245
baseline,Baseline,legitimacy-winner,7,0.535,0.328,0.156,0.122,0.122,0.000,0.360,0.490,0.000,0.027,0.000,0.680,0.726,0.258
baseline,Baseline,legitimacy-winner,8,0.538,0.333,0.152,0.115,0.115,0.000,0.349,0.493,0.000,0.026,0.000,0.685,0.729,0.265
baseline,Baseline,legitimacy-winner,9,0.539,0.335,0.151,0.115,0.115,0.000,0.341,0.496,0.000,0.026,0.000,0.690,0.732,0.267
baseline,Baseline,legitimacy-winner,10,0.540,0.337,0.151,0.114,0.114,0.000,0.334,0.498,0.000,0.026,0.000,0.694,0.734,0.269
baseline,Baseline,legitimacy-winner,11,0.541,0.338,0.151,0.114,0.114,0.000,0.329,0.500,0.000,0.026,0.000,0.697,0.736,0.270
baseline,Baseline,legitimacy-winner,12,0.541,0.339,0.150,0.114,0.114,0.000,0.325,0.502,0.000,0.026,0.000,0.699,0.737,0.271
baseline,Baseline,legitimacy-winner,13,0.542,0.340,0.150,0.114,0.114,0.000,0.322,0.503,0.000,0.026,0.000,0.702,0.738,0.272
baseline,Baseline,legitimacy-winner,14,0.542,0.341,0.150,0.114,0.114,0.000,0.319,0.505,0.000,0.026,0.000,0.703,0.739,0.273
baseline,Baseline,legitimacy-winner,15,0.543,0.341,0.150,0.113,0.113,0.000,0.317,0.506,0.000,0.026,0.000,0.705,0.740,0.274
baseline,Baseline,legitimacy-winner,16,0.543,0.342,0.150,0.113,0.113,0.000,0.316,0.507,0.000,0.026,0.000,0.706,0.741,0.275
baseline,Baseline,legitimacy-winner,17,0.543,0.342,0.149,0.113,0.113,0.000,0.315,0.507,0.000,0.026,0.000,0.707,0.741,0.275
baseline,Baseline,legitimacy-winner,18,0.544,0.343,0.149,0.113,0.113,0.000,0.314,0.508,0.000,0.026,0.000,0.708,0.742,0.276
baseline,Baseline,legitimacy-winner,19,0.544,0.343,0.149,0.113,0.113,0.000,0.313,0.509,0.000,0.026,0.000,0.709,0.742,0.276
baseline,Baseline,legitimacy-winner,20,0.544,0.343,0.149,0.113,0.113,0.000,0.313,0.509,0.000,0.026,0.000,0.710,0.743,0.276
baseline,Baseline,legitimacy-winner,21,0.544,0.344,0.149,0.113,0.113,0.000,0.313,0.510,0.000,0.026,0.000,0.710,0.743,0.277
baseline,Baseline,legitimacy-winner,22,0.544,0.344,0.149,0.113,0.113,0.000,0.312,0.510,0.000,0.026,0.000,0.711,0.743,0.277
baseline,Baseline,legitimacy-winner,23,0.544,0.344,0.149,0.113,0.113,0.000,0.312,0.510,0.000,0.026,0.000,0.711,0.743,0.277
baseline,Baseline,legitimacy-winner,24,0.545,0.344,0.149,0.113,0.113,0.000,0.312,0.511,0.000,0.026,0.000,0.712,0.744,0.277
baseline,Baseline,efficiency-caution,1,0.610,0.325,0.265,0.333,0.223,0.110,0.507,0.477,0.348,0.222,0.000,0.571,0.671,0.179
baseline,Baseline,efficiency-caution,2,0.612,0.323,0.266,0.332,0.223,0.109,0.453,0.456,0.312,0.228,0.000,0.571,0.671,0.176
baseline,Baseline,efficiency-caution,3,0.613,0.323,0.265,0.328,0.223,0.105,0.410,0.440,0.277,0.231,0.000,0.570,0.671,0.177
baseline,Baseline,efficiency-caution,4,0.615,0.323,0.264,0.322,0.223,0.100,0.376,0.429,0.242,0.229,0.000,0.570,0.671,0.180
baseline,Baseline,efficiency-caution,5,0.617,0.326,0.261,0.314,0.223,0.092,0.350,0.422,0.208,0.223,0.000,0.570,0.670,0.185
baseline,Baseline,efficiency-caution,6,0.619,0.329,0.257,0.304,0.223,0.082,0.332,0.419,0.174,0.212,0.000,0.572,0.671,0.193
baseline,Baseline,efficiency-caution,7,0.621,0.334,0.252,0.292,0.223,0.069,0.319,0.420,0.141,0.197,0.000,0.575,0.671,0.203
baseline,Baseline,efficiency-caution,8,0.623,0.339,0.247,0.277,0.223,0.054,0.311,0.423,0.107,0.177,0.000,0.579,0.673,0.214
baseline,Baseline,efficiency-caution,9,0.626,0.346,0.241,0.261,0.223,0.037,0.308,0.429,0.074,0.151,0.000,0.585,0.675,0.228
baseline,Baseline,efficiency-caution,10,0.629,0.354,0.234,0.242,0.224,0.018,0.309,0.437,0.040,0.121,0.000,0.592,0.677,0.244
baseline,Baseline,efficiency-caution,11,0.633,0.363,0.227,0.220,0.220,0.000,0.314,0.447,0.005,0.088,0.000,0.602,0.681,0.261
baseline,Baseline,efficiency-caution,12,0.637,0.374,0.219,0.198,0.198,0.000,0.319,0.455,0.000,0.068,0.000,0.610,0.685,0.275
baseline,Baseline,efficiency-caution,13,0.639,0.379,0.217,0.188,0.188,0.000,0.323,0.462,0.000,0.055,0.000,0.618,0.689,0.281
baseline,Baseline,efficiency-caution,14,0.641,0.382,0.216,0.183,0.183,0.000,0.326,0.468,0.000,0.046,0.000,0.624,0.692,0.285
baseline,Baseline,efficiency-caution,15,0.643,0.385,0.215,0.179,0.179,0.000,0.330,0.473,0.000,0.040,0.000,0.631,0.695,0.289
baseline,Baseline,efficiency-caution,16,0.645,0.388,0.214,0.176,0.176,0.000,0.333,0.477,0.000,0.037,0.000,0.636,0.698,0.292
baseline,Baseline,efficiency-caution,17,0.646,0.391,0.213,0.175,0.175,0.000,0.336,0.480,0.000,0.034,0.000,0.641,0.700,0.294
baseline,Baseline,efficiency-caution,18,0.647,0.393,0.213,0.173,0.173,0.000,0.339,0.483,0.000,0.032,0.000,0.646,0.703,0.297
baseline,Baseline,efficiency-caution,19,0.649,0.395,0.213,0.172,0.172,0.000,0.341,0.486,0.000,0.031,0.000,0.650,0.705,0.299
baseline,Baseline,efficiency-caution,20,0.650,0.396,0.212,0.172,0.172,0.000,0.344,0.488,0.000,0.031,0.000,0.654,0.707,0.301
baseline,Baseline,efficiency-caution,21,0.651,0.398,0.212,0.171,0.171,0.000,0.346,0.490,0.000,0.030,0.000,0.657,0.708,0.302
baseline,Baseline,efficiency-caution,22,0.652,0.399,0.212,0.171,0.171,0.000,0.348,0.491,0.000,0.030,0.000,0.660,0.710,0.304
baseline,Baseline,efficiency-caution,23,0.652,0.400,0.212,0.171,0.171,0.000,0.350,0.492,0.000,0.030,0.000,0.663,0.711,0.305
baseline,Baseline,efficiency-caution,24,0.653,0.401,0.211,0.171,0.171,0.000,0.352,0.494,0.000,0.030,0.000,0.666,0.712,0.306
baseline,Baseline,current-system-baseline,1,0.291,0.134,0.140,0.250,0.250,0.000,0.444,0.422,0.561,0.109,0.000,0.502,0.680,0.071
baseline,Baseline,current-system-baseline,2,0.292,0.130,0.144,0.225,0.225,0.000,0.369,0.386,0.546,0.062,0.000,0.499,0.680,0.065
baseline,Baseline,current-system-baseline,3,0.292,0.126,0.147,0.209,0.209,0.000,0.306,0.355,0.533,0.032,0.000,0.494,0.679,0.060
baseline,Baseline,current-system-baseline,4,0.292,0.122,0.150,0.198,0.198,0.000,0.253,0.328,0.522,0.013,0.000,0.488,0.677,0.055
baseline,Baseline,current-system-baseline,5,0.292,0.119,0.152,0.192,0.192,0.000,0.209,0.306,0.512,0.002,0.000,0.482,0.674,0.051
baseline,Baseline,current-system-baseline,6,0.292,0.117,0.154,0.187,0.187,0.000,0.172,0.288,0.504,0.000,0.000,0.475,0.671,0.048
baseline,Baseline,current-system-baseline,7,0.291,0.114,0.155,0.186,0.186,0.000,0.141,0.272,0.497,0.000,0.000,0.468,0.668,0.045
baseline,Baseline,current-system-baseline,8,0.291,0.112,0.156,0.186,0.186,0.000,0.115,0.260,0.491,0.000,0.000,0.461,0.665,0.042
baseline,Baseline,current-system-baseline,9,0.290,0.110,0.156,0.186,0.186,0.000,0.094,0.249,0.485,0.000,0.000,0.454,0.661,0.040
baseline,Baseline,current-system-baseline,10,0.289,0.109,0.157,0.185,0.185,0.000,0.077,0.240,0.480,0.000,0.000,0.447,0.658,0.038
baseline,Baseline,current-system-baseline,11,0.289,0.108,0.157,0.185,0.185,0.000,0.062,0.233,0.476,0.000,0.000,0.441,0.655,0.037
baseline,Baseline,current-system-baseline,12,0.288,0.107,0.157,0.184,0.184,0.000,0.050,0.227,0.472,0.000,0.000,0.435,0.653,0.036
baseline,Baseline,current-system-baseline,13,0.287,0.106,0.157,0.183,0.183,0.000,0.041,0.222,0.469,0.000,0.000,0.430,0.650,0.035
baseline,Baseline,current-system-baseline,14,0.287,0.105,0.157,0.183,0.183,0.000,0.032,0.218,0.466,0.000,0.000,0.425,0.648,0.034
baseline,Baseline,current-system-baseline,15,0.286,0.104,0.157,0.183,0.183,0.000,0.026,0.214,0.463,0.000,0.000,0.421,0.645,0.033
baseline,Baseline,current-system-baseline,16,0.286,0.104,0.157,0.182,0.182,0.000,0.020,0.211,0.461,0.000,0.000,0.417,0.643,0.033
baseline,Baseline,current-system-baseline,17,0.285,0.103,0.157,0.182,0.182,0.000,0.016,0.209,0.458,0.000,0.000,0.413,0.642,0.032
baseline,Baseline,current-system-baseline,18,0.285,0.103,0.157,0.181,0.181,0.000,0.012,0.207,0.457,0.000,0.000,0.410,0.640,0.032
baseline,Baseline,current-system-baseline,19,0.285,0.102,0.157,0.181,0.181,0.000,0.009,0.206,0.455,0.000,0.000,0.406,0.638,0.032
baseline,Baseline,current-system-baseline,20,0.284,0.102,0.157,0.180,0.180,0.000,0.006,0.205,0.453,0.000,0.000,0.404,0.637,0.031
baseline,Baseline,current-system-baseline,21,0.284,0.102,0.157,0.180,0.180,0.000,0.004,0.204,0.452,0.000,0.000,0.401,0.636,0.031
baseline,Baseline,current-system-baseline,22,0.284,0.102,0.156,0.180,0.180,0.000,0.002,0.203,0.451,0.000,0.000,0.399,0.635,0.031
baseline,Baseline,current-system-baseline,23,0.284,0.101,0.156,0.180,0.180,0.000,0.001,0.203,0.450,0.000,0.000,0.397,0.634,0.031
baseline,Baseline,current-system-baseline,24,0.283,0.101,0.156,0.179,0.179,0.000,0.000,0.202,0.449,0.000,0.000,0.396,0.633,0.031
high-capture-pressure,High Capture Pressure,balanced-winner,1,0.577,0.310,0.244,0.307,0.235,0.072,0.549,0.491,0.504,0.161,0.000,0.608,0.669,0.182
high-capture-pressure,High Capture Pressure,balanced-winner,2,0.574,0.296,0.254,0.313,0.234,0.079,0.471,0.451,0.508,0.163,0.000,0.596,0.664,0.162
high-capture-pressure,High Capture Pressure,balanced-winner,3,0.571,0.283,0.263,0.320,0.233,0.087,0.404,0.416,0.514,0.171,0.000,0.582,0.659,0.143
high-capture-pressure,High Capture Pressure,balanced-winner,4,0.567,0.270,0.271,0.330,0.232,0.097,0.345,0.384,0.523,0.185,0.000,0.566,0.653,0.124
high-capture-pressure,High Capture Pressure,balanced-winner,5,0.563,0.259,0.278,0.340,0.231,0.109,0.294,0.355,0.534,0.202,0.000,0.549,0.646,0.106
high-capture-pressure,High Capture Pressure,balanced-winner,6,0.559,0.247,0.284,0.353,0.230,0.122,0.248,0.329,0.547,0.224,0.000,0.531,0.638,0.089
high-capture-pressure,High Capture Pressure,balanced-winner,7,0.554,0.236,0.290,0.366,0.229,0.137,0.207,0.304,0.562,0.248,0.000,0.512,0.630,0.071
high-capture-pressure,High Capture Pressure,balanced-winner,8,0.548,0.225,0.295,0.381,0.228,0.153,0.170,0.281,0.579,0.276,0.000,0.492,0.621,0.054
high-capture-pressure,High Capture Pressure,balanced-winner,9,0.542,0.214,0.300,0.397,0.227,0.170,0.136,0.259,0.597,0.307,0.000,0.472,0.612,0.036
high-capture-pressure,High Capture Pressure,balanced-winner,10,0.536,0.203,0.305,0.414,0.225,0.188,0.105,0.237,0.618,0.341,0.000,0.450,0.603,0.019
high-capture-pressure,High Capture Pressure,balanced-winner,11,0.530,0.192,0.309,0.432,0.224,0.208,0.076,0.215,0.640,0.377,0.000,0.428,0.594,0.001
high-capture-pressure,High Capture Pressure,balanced-winner,12,0.524,0.181,0.314,0.451,0.222,0.228,0.048,0.194,0.664,0.415,0.000,0.405,0.584,-0.017
high-capture-pressure,High Capture Pressure,balanced-winner,13,0.517,0.170,0.318,0.471,0.221,0.250,0.021,0.172,0.690,0.456,0.000,0.382,0.573,-0.036
high-capture-pressure,High Capture Pressure,balanced-winner,14,0.510,0.159,0.322,0.492,0.219,0.273,0.000,0.150,0.718,0.499,0.000,0.358,0.563,-0.054
